Petstore,,,Direct Connect Store,,,Formula,,Output
,,,,,,,,
Bird,Bath De-Icer,Bath De-Icer,Pet Items,Bird Bath De-Icer,,Bird/Bath De-Icer/Bath De-Icer==Pet Items/Bird Bath De-Icer,,Bird/Bath De-Icer/Bath De-Icer==Pet Items/Bird Bath De-Icer
Bird,Cages,Accessories,Pet Items,Bird Cages,,Bird/Cages/Accessories==Pet Items/Bird Cages,,Bird/Cages/Accessories==Pet Items/Bird Cages
Bird,House,Houses,Pet Items,Bird House,,Bird/House/Houses==Pet Items/Bird House,,Bird/House/Houses==Pet Items/Bird House
Bird,Perches,Heated Perches,Pet Items,Bird Perches,,Bird/Perches/Heated Perches==Pet Items/Bird Perches,,Bird/Perches/Heated Perches==Pet Items/Bird Perches
Bird,Perches,Perches,Pet Items,Bird Perches,,Bird/Perches/Perches==Pet Items/Bird Perches,,Bird/Perches/Perches==Pet Items/Bird Perches
Cat,Beds,Designer Beds,Pet Items,Cat Beds,,Cat/Beds/Designer Beds==Pet Items/Cat Beds,,Cat/Beds/Designer Beds==Pet Items/Cat Beds
Cat,Beds,Heated Beds,Pet Items,Cat Beds,,Cat/Beds/Heated Beds==Pet Items/Cat Beds,,Cat/Beds/Heated Beds==Pet Items/Cat Beds
Cat,Beds,Heated Pads,Pet Items,Cat Beds,,Cat/Beds/Heated Pads==Pet Items/Cat Beds,,Cat/Beds/Heated Pads==Pet Items/Cat Beds
Cat,Containment,Cages,Pet Items,Cat Containment,,Cat/Containment/Cages==Pet Items/Cat Containment,,Cat/Containment/Cages==Pet Items/Cat Containment
Cat,Containment,In-Ground Fences,Pet Items,Cat Containment,,Cat/Containment/In-Ground Fences==Pet Items/Cat Containment,,Cat/Containment/In-Ground Fences==Pet Items/Cat Containment
Cat,Containment,Spray Deterrent,Pet Items,Cat Containment,,Cat/Containment/Spray Deterrent==Pet Items/Cat Containment,,Cat/Containment/Spray Deterrent==Pet Items/Cat Containment
Cat,Doors,Door Mounted,Pet Items,Cat Doors,,Cat/Doors/Door Mounted==Pet Items/Cat Doors,,Cat/Doors/Door Mounted==Pet Items/Cat Doors
Cat,Doors,Wall Mounted,Pet Items,Cat Doors,,Cat/Doors/Wall Mounted==Pet Items/Cat Doors,,Cat/Doors/Wall Mounted==Pet Items/Cat Doors
Cat,Feeding and Watering,Automatic Feeder and Watering,Pet Items,Cat Feeding & Watering,,Cat/Feeding and Watering/Automatic Feeder and Watering==Pet Items/Cat Feeding & Watering,,Cat/Feeding and Watering/Automatic Feeder and Watering==Pet Items/Cat Feeding & Watering
Cat,Feeding and Watering,Automatic Feeding and Watering,Pet Items,Cat Feeding & Watering,,Cat/Feeding and Watering/Automatic Feeding and Watering==Pet Items/Cat Feeding & Watering,,Cat/Feeding and Watering/Automatic Feeding and Watering==Pet Items/Cat Feeding & Watering
Cat,Feeding and Watering,Bowls,Pet Items,Cat Feeding & Watering,,Cat/Feeding and Watering/Bowls==Pet Items/Cat Feeding & Watering,,Cat/Feeding and Watering/Bowls==Pet Items/Cat Feeding & Watering
Cat,Flea and Tick,Advantage,Pet Items,Cat Flea and Tick,,Cat/Flea and Tick/Advantage==Pet Items/Cat Flea and Tick,,Cat/Flea and Tick/Advantage==Pet Items/Cat Flea and Tick
Cat,Flea and Tick,Frontline,Pet Items,Cat Flea and Tick,,Cat/Flea and Tick/Frontline==Pet Items/Cat Flea and Tick,,Cat/Flea and Tick/Frontline==Pet Items/Cat Flea and Tick
Cat,Furniture,Perches,Pet Items,Cat Furniture,,Cat/Furniture/Perches==Pet Items/Cat Furniture,,Cat/Furniture/Perches==Pet Items/Cat Furniture
Cat,Furniture,Play Houses,Pet Items,Cat Furniture,,Cat/Furniture/Play Houses==Pet Items/Cat Furniture,,Cat/Furniture/Play Houses==Pet Items/Cat Furniture
Cat,Furniture,Scratching Post,Pet Items,Cat Furniture,,Cat/Furniture/Scratching Post==Pet Items/Cat Furniture,,Cat/Furniture/Scratching Post==Pet Items/Cat Furniture
Cat,Furniture,Scratching Posts,Pet Items,Cat Furniture,,Cat/Furniture/Scratching Posts==Pet Items/Cat Furniture,,Cat/Furniture/Scratching Posts==Pet Items/Cat Furniture
Cat,Grooming,Brushes,Pet Items,Cat Wellness,,Cat/Grooming/Brushes==Pet Items/Cat Wellness,,Cat/Grooming/Brushes==Pet Items/Cat Wellness
Cat,House Breaking,Floor Cleaner,Pet Items,Cat Litter Boxes,,Cat/House Breaking/Floor Cleaner==Pet Items/Cat Litter Boxes,,Cat/House Breaking/Floor Cleaner==Pet Items/Cat Litter Boxes
Cat,Houses,Houses,Pet Items,Cat Houses,,Cat/Houses/Houses==Pet Items/Cat Houses,,Cat/Houses/Houses==Pet Items/Cat Houses
Cat,Litter Boxes,Accessories,Pet Items,Cat Litter Boxes,,Cat/Litter Boxes/Accessories==Pet Items/Cat Litter Boxes,,Cat/Litter Boxes/Accessories==Pet Items/Cat Litter Boxes
Cat,Litter Boxes,Automatic Litter Boxes,Pet Items,Cat Litter Boxes,,Cat/Litter Boxes/Automatic Litter Boxes==Pet Items/Cat Litter Boxes,,Cat/Litter Boxes/Automatic Litter Boxes==Pet Items/Cat Litter Boxes
Cat,Litter Boxes,Litter Box Covers,Pet Items,Cat Litter Boxes,,Cat/Litter Boxes/Litter Box Covers==Pet Items/Cat Litter Boxes,,Cat/Litter Boxes/Litter Box Covers==Pet Items/Cat Litter Boxes
Cat,Litter Boxes,Litter Boxes,Pet Items,Cat Litter Boxes,,Cat/Litter Boxes/Litter Boxes==Pet Items/Cat Litter Boxes,,Cat/Litter Boxes/Litter Boxes==Pet Items/Cat Litter Boxes
Cat,Litter Boxes,Litter Scoops,Pet Items,Cat Litter Boxes,,Cat/Litter Boxes/Litter Scoops==Pet Items/Cat Litter Boxes,,Cat/Litter Boxes/Litter Scoops==Pet Items/Cat Litter Boxes
Cat,Pet Video Camera,Pet Video Camera,Pet Items,Cat Pet Video Camera,,Cat/Pet Video Camera/Pet Video Camera==Pet Items/Cat Pet Video Camera,,Cat/Pet Video Camera/Pet Video Camera==Pet Items/Cat Pet Video Camera
Cat,Toys,Feeders,Pet Items,Cat Toys,,Cat/Toys/Feeders==Pet Items/Cat Toys,,Cat/Toys/Feeders==Pet Items/Cat Toys
Cat,Toys,Interactive,Pet Items,Cat Toys,,Cat/Toys/Interactive==Pet Items/Cat Toys,,Cat/Toys/Interactive==Pet Items/Cat Toys
Cat,Toys,Interactive Toys,Pet Items,Cat Toys,,Cat/Toys/Interactive Toys==Pet Items/Cat Toys,,Cat/Toys/Interactive Toys==Pet Items/Cat Toys
Cat,Travel,Strollers,Pet Items,Cat Travel,,Cat/Travel/Strollers==Pet Items/Cat Travel,,Cat/Travel/Strollers==Pet Items/Cat Travel
Cat,Treats,Catnip,Pet Items,Cat Treats,,Cat/Treats/Catnip==Pet Items/Cat Treats,,Cat/Treats/Catnip==Pet Items/Cat Treats
Cat,Waste Management,Litter Kwitter,Pet Items,Cat Litter Boxes,,Cat/Waste Management/Litter Kwitter==Pet Items/Cat Litter Boxes,,Cat/Waste Management/Litter Kwitter==Pet Items/Cat Litter Boxes
Dog,Agility Training,Agility Training,Pet Items,Dog Agility Training,,Dog/Agility Training/Agility Training==Pet Items/Dog Agility Training,,Dog/Agility Training/Agility Training==Pet Items/Dog Agility Training
Dog,Bark Control,Accessories,Pet Items,Dog Bark Control,,Dog/Bark Control/Accessories==Pet Items/Dog Bark Control,,Dog/Bark Control/Accessories==Pet Items/Dog Bark Control
Dog,Bark Control,Spray Bark Control,Pet Items,Dog Bark Control,,Dog/Bark Control/Spray Bark Control==Pet Items/Dog Bark Control,,Dog/Bark Control/Spray Bark Control==Pet Items/Dog Bark Control
Dog,Bark Control,Static Bark Control,Pet Items,Dog Bark Control,,Dog/Bark Control/Static Bark Control==Pet Items/Dog Bark Control,,Dog/Bark Control/Static Bark Control==Pet Items/Dog Bark Control
Dog,Bark Control,Ultrasonic Bark Control,Pet Items,Dog Bark Control,,Dog/Bark Control/Ultrasonic Bark Control==Pet Items/Dog Bark Control,,Dog/Bark Control/Ultrasonic Bark Control==Pet Items/Dog Bark Control
Dog,Beds,Beds,Pet Items,Dog Beds,,Dog/Beds/Beds==Pet Items/Dog Beds,,Dog/Beds/Beds==Pet Items/Dog Beds
Dog,Beds,Bolster Beds,Pet Items,Dog Beds,,Dog/Beds/Bolster Beds==Pet Items/Dog Beds,,Dog/Beds/Bolster Beds==Pet Items/Dog Beds
Dog,Beds,Cooling Beds,Pet Items,Dog Beds,,Dog/Beds/Cooling Beds==Pet Items/Dog Beds,,Dog/Beds/Cooling Beds==Pet Items/Dog Beds
Dog,Beds,Heated Beds,Pet Items,Dog Beds,,Dog/Beds/Heated Beds==Pet Items/Dog Beds,,Dog/Beds/Heated Beds==Pet Items/Dog Beds
Dog,Beds,Heated Pads,Pet Items,Dog Beds,,Dog/Beds/Heated Pads==Pet Items/Dog Beds,,Dog/Beds/Heated Pads==Pet Items/Dog Beds
Dog,Beds,Orthopedic Beds,Pet Items,Dog Beds,,Dog/Beds/Orthopedic Beds==Pet Items/Dog Beds,,Dog/Beds/Orthopedic Beds==Pet Items/Dog Beds
Dog,Beds,Traditional Beds,Pet Items,Dog Beds,,Dog/Beds/Traditional Beds==Pet Items/Dog Beds,,Dog/Beds/Traditional Beds==Pet Items/Dog Beds
Dog,Collars and Leashes,Collars,Pet Items,Dog Collars and Leashes,,Dog/Collars and Leashes/Collars==Pet Items/Dog Collars and Leashes,,Dog/Collars and Leashes/Collars==Pet Items/Dog Collars and Leashes
Dog,Collars and Leashes,Harnesses,Pet Items,Dog Collars and Leashes,,Dog/Collars and Leashes/Harnesses==Pet Items/Dog Collars and Leashes,,Dog/Collars and Leashes/Harnesses==Pet Items/Dog Collars and Leashes
Dog,Collars and Leashes,Leashes,Pet Items,Dog Collars and Leashes,,Dog/Collars and Leashes/Leashes==Pet Items/Dog Collars and Leashes,,Dog/Collars and Leashes/Leashes==Pet Items/Dog Collars and Leashes
Dog,Collars and Leashes,Tie Out Stakes,Pet Items,Dog Collars and Leashes,,Dog/Collars and Leashes/Tie Out Stakes==Pet Items/Dog Collars and Leashes,,Dog/Collars and Leashes/Tie Out Stakes==Pet Items/Dog Collars and Leashes
Dog,Collars and Leashes,Tie-Out Stakes,Pet Items,Dog Collars and Leashes,,Dog/Collars and Leashes/Tie-Out Stakes==Pet Items/Dog Collars and Leashes,,Dog/Collars and Leashes/Tie-Out Stakes==Pet Items/Dog Collars and Leashes
Dog,Containment,In-Ground Fences,Pet Items,Dog Containment,,Dog/Containment/In-Ground Fences==Pet Items/Dog Containment,,Dog/Containment/In-Ground Fences==Pet Items/Dog Containment
Dog,Containment System,Accessories,Pet Items,Dog Containment,,Dog/Containment System/Accessories==Pet Items/Dog Containment,,Dog/Containment System/Accessories==Pet Items/Dog Containment
Dog,Containment System,Wireless Fence,Pet Items,Dog Containment,,Dog/Containment System/Wireless Fence==Pet Items/Dog Containment,,Dog/Containment System/Wireless Fence==Pet Items/Dog Containment
Dog,Containment Systems,Accessories,Pet Items,Dog Containment,,Dog/Containment Systems/Accessories==Pet Items/Dog Containment,,Dog/Containment Systems/Accessories==Pet Items/Dog Containment
Dog,Containment Systems,Indoor Containment,Pet Items,Dog Containment,,Dog/Containment Systems/Indoor Containment==Pet Items/Dog Containment,,Dog/Containment Systems/Indoor Containment==Pet Items/Dog Containment
Dog,Containment Systems,In-Ground Fences,Pet Items,Dog Containment,,Dog/Containment Systems/In-Ground Fences==Pet Items/Dog Containment,,Dog/Containment Systems/In-Ground Fences==Pet Items/Dog Containment
Dog,Containment Systems,Wireless Fences,Pet Items,Dog Containment,,Dog/Containment Systems/Wireless Fences==Pet Items/Dog Containment,,Dog/Containment Systems/Wireless Fences==Pet Items/Dog Containment
Dog,Crates,Accessories,Pet Items,Dog Crates,,Dog/Crates/Accessories==Pet Items/Dog Crates,,Dog/Crates/Accessories==Pet Items/Dog Crates
Dog,Crates,Beds,Pet Items,Dog Crates,,Dog/Crates/Beds==Pet Items/Dog Crates,,Dog/Crates/Beds==Pet Items/Dog Crates
Dog,Crates,Exercise Pens,Pet Items,Dog Crates,,Dog/Crates/Exercise Pens==Pet Items/Dog Crates,,Dog/Crates/Exercise Pens==Pet Items/Dog Crates
Dog,Crates,Puppy Play Pens,Pet Items,Dog Crates,,Dog/Crates/Puppy Play Pens==Pet Items/Dog Crates,,Dog/Crates/Puppy Play Pens==Pet Items/Dog Crates
Dog,Crates,Soft - Cloth,Pet Items,Dog Crates,,Dog/Crates/Soft - Cloth==Pet Items/Dog Crates,,Dog/Crates/Soft - Cloth==Pet Items/Dog Crates
Dog,Crates,Wicker,Pet Items,Dog Crates,,Dog/Crates/Wicker==Pet Items/Dog Crates,,Dog/Crates/Wicker==Pet Items/Dog Crates
Dog,Crates,Wire,Pet Items,Dog Crates,,Dog/Crates/Wire==Pet Items/Dog Crates,,Dog/Crates/Wire==Pet Items/Dog Crates
Dog,Crates,Wood / Designer,Pet Items,Dog Crates,,Dog/Crates/Wood / Designer==Pet Items/Dog Crates,,Dog/Crates/Wood / Designer==Pet Items/Dog Crates
Dog,DNA Test,DNA Test,Pet Items,Dog DNA Test,,Dog/DNA Test/DNA Test==Pet Items/Dog DNA Test,,Dog/DNA Test/DNA Test==Pet Items/Dog DNA Test
Dog,Doors,Door Entry,Pet Items,Dog Doors,,Dog/Doors/Door Entry==Pet Items/Dog Doors,,Dog/Doors/Door Entry==Pet Items/Dog Doors
Dog,Doors,Patio Door Panels,Pet Items,Dog Doors,,Dog/Doors/Patio Door Panels==Pet Items/Dog Doors,,Dog/Doors/Patio Door Panels==Pet Items/Dog Doors
Dog,Doors,Replacement Flap,Pet Items,Dog Doors,,Dog/Doors/Replacement Flap==Pet Items/Dog Doors,,Dog/Doors/Replacement Flap==Pet Items/Dog Doors
Dog,Doors,Wall Entry,Pet Items,Dog Doors,,Dog/Doors/Wall Entry==Pet Items/Dog Doors,,Dog/Doors/Wall Entry==Pet Items/Dog Doors
Dog,Feeding and Watering,Automatic Feeder and Watering,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Automatic Feeder and Watering==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Automatic Feeder and Watering==Pet Items/Dog Feeding & Watering
Dog,Feeding and Watering,Automatic Feeding and Watering,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Automatic Feeding and Watering==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Automatic Feeding and Watering==Pet Items/Dog Feeding & Watering
Dog,Feeding and Watering,Bowls,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Bowls==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Bowls==Pet Items/Dog Feeding & Watering
Dog,Feeding and Watering,Elevated Feeding,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Elevated Feeding==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Elevated Feeding==Pet Items/Dog Feeding & Watering
