Petstore,,,Direct Connect Store,,,Formula,,Output
Dog,Feeding and Watering,Food Storage,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Food Storage==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Food Storage==Pet Items/Dog Feeding & Watering
Dog,Feeding and Watering,Heated Outdoor Bowls,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Heated Outdoor Bowls==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Heated Outdoor Bowls==Pet Items/Dog Feeding & Watering
Dog,Feeding and Watering,Heated Outdoor Watering,Pet Items,Dog Feeding & Watering,,Dog/Feeding and Watering/Heated Outdoor Watering==Pet Items/Dog Feeding & Watering,,Dog/Feeding and Watering/Heated Outdoor Watering==Pet Items/Dog Feeding & Watering
Dog,Flea and Tick,Advantage,Pet Items,Dog Flea and Tick,,Dog/Flea and Tick/Advantage==Pet Items/Dog Flea and Tick,,Dog/Flea and Tick/Advantage==Pet Items/Dog Flea and Tick
Dog,Flea and Tick,Advantix,Pet Items,Dog Flea and Tick,,Dog/Flea and Tick/Advantix==Pet Items/Dog Flea and Tick,,Dog/Flea and Tick/Advantix==Pet Items/Dog Flea and Tick
Dog,Flea and Tick,Frontline,Pet Items,Dog Flea and Tick,,Dog/Flea and Tick/Frontline==Pet Items/Dog Flea and Tick,,Dog/Flea and Tick/Frontline==Pet Items/Dog Flea and Tick
Dog,Furniture,Covers,Pet Items,Dog Furniture,,Dog/Furniture/Covers==Pet Items/Dog Furniture,,Dog/Furniture/Covers==Pet Items/Dog Furniture
Dog,Furniture,Ramps,Pet Items,Dog Furniture,,Dog/Furniture/Ramps==Pet Items/Dog Furniture,,Dog/Furniture/Ramps==Pet Items/Dog Furniture
Dog,Furniture,Steps,Pet Items,Dog Furniture,,Dog/Furniture/Steps==Pet Items/Dog Furniture,,Dog/Furniture/Steps==Pet Items/Dog Furniture
Dog,Gates,Free Standing,Pet Items,Dog Gates,,Dog/Gates/Free Standing==Pet Items/Dog Gates,,Dog/Gates/Free Standing==Pet Items/Dog Gates
Dog,Gates,Pressue Mounted,Pet Items,Dog Gates,,Dog/Gates/Pressue Mounted==Pet Items/Dog Gates,,Dog/Gates/Pressue Mounted==Pet Items/Dog Gates
Dog,Gates,Pressure Mounted,Pet Items,Dog Gates,,Dog/Gates/Pressure Mounted==Pet Items/Dog Gates,,Dog/Gates/Pressure Mounted==Pet Items/Dog Gates
Dog,Gates,Wall Mounted,Pet Items,Dog Gates,,Dog/Gates/Wall Mounted==Pet Items/Dog Gates,,Dog/Gates/Wall Mounted==Pet Items/Dog Gates
Dog,GPS Tracking,Accessories,Pet Items,Dog GPS Tracking,,Dog/GPS Tracking/Accessories==Pet Items/Dog GPS Tracking,,Dog/GPS Tracking/Accessories==Pet Items/Dog GPS Tracking
Dog,GPS Tracking,GPS Tracking,Pet Items,Dog GPS Tracking,,Dog/GPS Tracking/GPS Tracking==Pet Items/Dog GPS Tracking,,Dog/GPS Tracking/GPS Tracking==Pet Items/Dog GPS Tracking
Dog,Grooming,Bathing,Pet Items,Dog Grooming,,Dog/Grooming/Bathing==Pet Items/Dog Grooming,,Dog/Grooming/Bathing==Pet Items/Dog Grooming
Dog,Grooming,Brushes,Pet Items,Dog Grooming,,Dog/Grooming/Brushes==Pet Items/Dog Grooming,,Dog/Grooming/Brushes==Pet Items/Dog Grooming
Dog,Grooming,Clippers,Pet Items,Dog Grooming,,Dog/Grooming/Clippers==Pet Items/Dog Grooming,,Dog/Grooming/Clippers==Pet Items/Dog Grooming
Dog,Grooming,Shampoo,Pet Items,Dog Grooming,,Dog/Grooming/Shampoo==Pet Items/Dog Grooming,,Dog/Grooming/Shampoo==Pet Items/Dog Grooming
Dog,Grooming,Skin and Coat Care,Pet Items,Dog Grooming,,Dog/Grooming/Skin and Coat Care==Pet Items/Dog Grooming,,Dog/Grooming/Skin and Coat Care==Pet Items/Dog Grooming
Dog,Grooming,Tables,Pet Items,Dog Grooming,,Dog/Grooming/Tables==Pet Items/Dog Grooming,,Dog/Grooming/Tables==Pet Items/Dog Grooming
Dog,House,Houses,Pet Items,Dog Houses,,Dog/House/Houses==Pet Items/Dog Houses,,Dog/House/Houses==Pet Items/Dog Houses
Dog,House Breaking,Floor Cleaner,Pet Items,Dog House Breaking,,Dog/House Breaking/Floor Cleaner==Pet Items/Dog House Breaking,,Dog/House Breaking/Floor Cleaner==Pet Items/Dog House Breaking
Dog,House Breaking,Indoor and Outdoor Repellent,Pet Items,Dog House Breaking,,Dog/House Breaking/Indoor and Outdoor Repellent==Pet Items/Dog House Breaking,,Dog/House Breaking/Indoor and Outdoor Repellent==Pet Items/Dog House Breaking
Dog,House Breaking,Odor Eliminator,Pet Items,Dog House Breaking,,Dog/House Breaking/Odor Eliminator==Pet Items/Dog House Breaking,,Dog/House Breaking/Odor Eliminator==Pet Items/Dog House Breaking
Dog,House Breaking,Training Aid Spray,Pet Items,Dog House Breaking,,Dog/House Breaking/Training Aid Spray==Pet Items/Dog House Breaking,,Dog/House Breaking/Training Aid Spray==Pet Items/Dog House Breaking
Dog,House Breaking,Training Pads,Pet Items,Dog House Breaking,,Dog/House Breaking/Training Pads==Pet Items/Dog House Breaking,,Dog/House Breaking/Training Pads==Pet Items/Dog House Breaking
Dog,Houses,Accessories,Pet Items,Dog Houses,,Dog/Houses/Accessories==Pet Items/Dog Houses,,Dog/Houses/Accessories==Pet Items/Dog Houses
Dog,Houses,Dog Houses,Pet Items,Dog Houses,,Dog/Houses/Dog Houses==Pet Items/Dog Houses,,Dog/Houses/Dog Houses==Pet Items/Dog Houses
Dog,Kennels,Kennels,Pet Items,Dog Kennels,,Dog/Kennels/Kennels==Pet Items/Dog Kennels,,Dog/Kennels/Kennels==Pet Items/Dog Kennels
Dog,Memorials,Memorials,Pet Items,Dog Memorials,,Dog/Memorials/Memorials==Pet Items/Dog Memorials,,Dog/Memorials/Memorials==Pet Items/Dog Memorials
Dog,Puppy Package,Puppy Package,Pet Items,Dog Puppy Package,,Dog/Puppy Package/Puppy Package==Pet Items/Dog Puppy Package,,Dog/Puppy Package/Puppy Package==Pet Items/Dog Puppy Package
Dog,Sporting Dog,Beeper Collars,Pet Items,Dog Sporting Dog,,Dog/Sporting Dog/Beeper Collars==Pet Items/Dog Sporting Dog,,Dog/Sporting Dog/Beeper Collars==Pet Items/Dog Sporting Dog
Dog,Sporting Dog,Bird Launchers,Pet Items,Dog Sporting Dog,,Dog/Sporting Dog/Bird Launchers==Pet Items/Dog Sporting Dog,,Dog/Sporting Dog/Bird Launchers==Pet Items/Dog Sporting Dog
Dog,Sporting Dog,Duck Call,Pet Items,Dog Sporting Dog,,Dog/Sporting Dog/Duck Call==Pet Items/Dog Sporting Dog,,Dog/Sporting Dog/Duck Call==Pet Items/Dog Sporting Dog
Dog,Sporting Dog,Dummies,Pet Items,Dog Sporting Dog,,Dog/Sporting Dog/Dummies==Pet Items/Dog Sporting Dog,,Dog/Sporting Dog/Dummies==Pet Items/Dog Sporting Dog
Dog,Sporting Dog,Tracking,Pet Items,Dog Sporting Dog,,Dog/Sporting Dog/Tracking==Pet Items/Dog Sporting Dog,,Dog/Sporting Dog/Tracking==Pet Items/Dog Sporting Dog
Dog,Sporting Dog,Training DVDs,Pet Items,Dog Sporting Dog,,Dog/Sporting Dog/Training DVDs==Pet Items/Dog Sporting Dog,,Dog/Sporting Dog/Training DVDs==Pet Items/Dog Sporting Dog
Dog,Toys,Chew,Pet Items,Dog Toys,,Dog/Toys/Chew==Pet Items/Dog Toys,,Dog/Toys/Chew==Pet Items/Dog Toys
Dog,Toys,Interactive,Pet Items,Dog Toys,,Dog/Toys/Interactive==Pet Items/Dog Toys,,Dog/Toys/Interactive==Pet Items/Dog Toys
Dog,Toys,Plush,Pet Items,Dog Toys,,Dog/Toys/Plush==Pet Items/Dog Toys,,Dog/Toys/Plush==Pet Items/Dog Toys
Dog,Toys,Toss and Retrieve,Pet Items,Dog Toys,,Dog/Toys/Toss and Retrieve==Pet Items/Dog Toys,,Dog/Toys/Toss and Retrieve==Pet Items/Dog Toys
Dog,Training,Accessories,Pet Items,Dog Training,,Dog/Training/Accessories==Pet Items/Dog Training,,Dog/Training/Accessories==Pet Items/Dog Training
Dog,Training,Books and DVDs,Pet Items,Dog Training,,Dog/Training/Books and DVDs==Pet Items/Dog Training,,Dog/Training/Books and DVDs==Pet Items/Dog Training
Dog,Training,Clickers,Pet Items,Dog Training,,Dog/Training/Clickers==Pet Items/Dog Training,,Dog/Training/Clickers==Pet Items/Dog Training
Dog,Training,Spray Remote Trainers,Pet Items,Dog Training,,Dog/Training/Spray Remote Trainers==Pet Items/Dog Training,,Dog/Training/Spray Remote Trainers==Pet Items/Dog Training
Dog,Training,Static Remote Trainer,Pet Items,Dog Training,,Dog/Training/Static Remote Trainer==Pet Items/Dog Training,,Dog/Training/Static Remote Trainer==Pet Items/Dog Training
Dog,Training,Static Remote Trainers,Pet Items,Dog Training,,Dog/Training/Static Remote Trainers==Pet Items/Dog Training,,Dog/Training/Static Remote Trainers==Pet Items/Dog Training
Dog,Training,Ultrasonic Remote Trainers,Pet Items,Dog Training,,Dog/Training/Ultrasonic Remote Trainers==Pet Items/Dog Training,,Dog/Training/Ultrasonic Remote Trainers==Pet Items/Dog Training
Dog,Training,Vibration Remote Trainers,Pet Items,Dog Training,,Dog/Training/Vibration Remote Trainers==Pet Items/Dog Training,,Dog/Training/Vibration Remote Trainers==Pet Items/Dog Training
Dog,Travel,Carriers,Pet Items,Dog Travel,,Dog/Travel/Carriers==Pet Items/Dog Travel,,Dog/Travel/Carriers==Pet Items/Dog Travel
Dog,Travel,Comfort,Pet Items,Dog Travel,,Dog/Travel/Comfort==Pet Items/Dog Travel,,Dog/Travel/Comfort==Pet Items/Dog Travel
Dog,Travel,Restraints,Pet Items,Dog Travel,,Dog/Travel/Restraints==Pet Items/Dog Travel,,Dog/Travel/Restraints==Pet Items/Dog Travel
Dog,Travel,Strollers,Pet Items,Dog Travel,,Dog/Travel/Strollers==Pet Items/Dog Travel,,Dog/Travel/Strollers==Pet Items/Dog Travel
Dog,Travel,Vehicle Barriers,Pet Items,Dog Travel,,Dog/Travel/Vehicle Barriers==Pet Items/Dog Travel,,Dog/Travel/Vehicle Barriers==Pet Items/Dog Travel
Dog,Treats and Bones,Bones,Pet Items,Dog Treats and Bones,,Dog/Treats and Bones/Bones==Pet Items/Dog Treats and Bones,,Dog/Treats and Bones/Bones==Pet Items/Dog Treats and Bones
Dog,Treats and Bones,Rawhide,Pet Items,Dog Treats and Bones,,Dog/Treats and Bones/Rawhide==Pet Items/Dog Treats and Bones,,Dog/Treats and Bones/Rawhide==Pet Items/Dog Treats and Bones
Dog,Treats and Bones,Treats,Pet Items,Dog Treats and Bones,,Dog/Treats and Bones/Treats==Pet Items/Dog Treats and Bones,,Dog/Treats and Bones/Treats==Pet Items/Dog Treats and Bones
Dog,Waste Management,Indoor Potties,Pet Items,Dog Waste Management,,Dog/Waste Management/Indoor Potties==Pet Items/Dog Waste Management,,Dog/Waste Management/Indoor Potties==Pet Items/Dog Waste Management
Dog,Waste Management,In-Ground Disposal,Pet Items,Dog Waste Management,,Dog/Waste Management/In-Ground Disposal==Pet Items/Dog Waste Management,,Dog/Waste Management/In-Ground Disposal==Pet Items/Dog Waste Management
Dog,Waste Management,Poop Bags,Pet Items,Dog Waste Management,,Dog/Waste Management/Poop Bags==Pet Items/Dog Waste Management,,Dog/Waste Management/Poop Bags==Pet Items/Dog Waste Management
Dog,Waste Management,Rakes and Scoops,Pet Items,Dog Waste Management,,Dog/Waste Management/Rakes and Scoops==Pet Items/Dog Waste Management,,Dog/Waste Management/Rakes and Scoops==Pet Items/Dog Waste Management
Dog,Water Safety,Dog Boat Ladders,Pet Items,Dog Water Safety,,Dog/Water Safety/Dog Boat Ladders==Pet Items/Dog Water Safety,,Dog/Water Safety/Dog Boat Ladders==Pet Items/Dog Water Safety
Dog,Water Safety,Life Jackets,Pet Items,Dog Water Safety,,Dog/Water Safety/Life Jackets==Pet Items/Dog Water Safety,,Dog/Water Safety/Life Jackets==Pet Items/Dog Water Safety
Dog,Wellness,Bandage,Pet Items,Dog Wellness,,Dog/Wellness/Bandage==Pet Items/Dog Wellness,,Dog/Wellness/Bandage==Pet Items/Dog Wellness
Dog,Wellness,Behavioral Aid,Pet Items,Dog Wellness,,Dog/Wellness/Behavioral Aid==Pet Items/Dog Wellness,,Dog/Wellness/Behavioral Aid==Pet Items/Dog Wellness
Dog,Wellness,Cooling Bandanas and Jackets,Pet Items,Dog Wellness,,Dog/Wellness/Cooling Bandanas and Jackets==Pet Items/Dog Wellness,,Dog/Wellness/Cooling Bandanas and Jackets==Pet Items/Dog Wellness
Dog,Wellness,Ear Care,Pet Items,Dog Wellness,,Dog/Wellness/Ear Care==Pet Items/Dog Wellness,,Dog/Wellness/Ear Care==Pet Items/Dog Wellness
Dog,Wellness,Eye Care,Pet Items,Dog Wellness,,Dog/Wellness/Eye Care==Pet Items/Dog Wellness,,Dog/Wellness/Eye Care==Pet Items/Dog Wellness
Dog,Wellness,Goggles,Pet Items,Dog Wellness,,Dog/Wellness/Goggles==Pet Items/Dog Wellness,,Dog/Wellness/Goggles==Pet Items/Dog Wellness
Dog,Wellness,Joint Care,Pet Items,Dog Wellness,,Dog/Wellness/Joint Care==Pet Items/Dog Wellness,,Dog/Wellness/Joint Care==Pet Items/Dog Wellness
Dog,Wellness,Shoes,Pet Items,Dog Wellness,,Dog/Wellness/Shoes==Pet Items/Dog Wellness,,Dog/Wellness/Shoes==Pet Items/Dog Wellness
Dog,Wellness ,Daily Supplements,Pet Items,Dog Wellness,,Dog/Wellness /Daily Supplements==Pet Items/Dog Wellness,,Dog/Wellness /Daily Supplements==Pet Items/Dog Wellness
Dog,Wellness ,Joint Care,Pet Items,Dog Wellness,,Dog/Wellness /Joint Care==Pet Items/Dog Wellness,,Dog/Wellness /Joint Care==Pet Items/Dog Wellness
Dog,Wellness ,Pain Relief,Pet Items,Dog Wellness,,Dog/Wellness /Pain Relief==Pet Items/Dog Wellness,,Dog/Wellness /Pain Relief==Pet Items/Dog Wellness
Fish,Pond Supplies,Pond Supplies,Pet Items,Fish Pond Supplies,,Fish/Pond Supplies/Pond Supplies==Pet Items/Fish Pond Supplies,,Fish/Pond Supplies/Pond Supplies==Pet Items/Fish Pond Supplies
Outdoor,Hose,Heated,Pet Items,Outdoor Hose,,Outdoor/Hose/Heated==Pet Items/Outdoor Hose,,Outdoor/Hose/Heated==Pet Items/Outdoor Hose
Small Animal,Cages,Cages,Pet Items,Small Animal Cages,,Small Animal/Cages/Cages==Pet Items/Small Animal Cages,,Small Animal/Cages/Cages==Pet Items/Small Animal Cages
Small Pet,Beds,Heated Beds,Pet Items,Small Pet Beds,,Small Pet/Beds/Heated Beds==Pet Items/Small Pet Beds,,Small Pet/Beds/Heated Beds==Pet Items/Small Pet Beds
Small Pet,Cages,Accessories,Pet Items,Small Pet Cages,,Small Pet/Cages/Accessories==Pet Items/Small Pet Cages,,Small Pet/Cages/Accessories==Pet Items/Small Pet Cages
Small Pet,Cages,Cages,Pet Items,Small Pet Cages,,Small Pet/Cages/Cages==Pet Items/Small Pet Cages,,Small Pet/Cages/Cages==Pet Items/Small Pet Cages
Small Pet,Containment,Deterrent,Pet Items,Small Pet Containment,,Small Pet/Containment/Deterrent==Pet Items/Small Pet Containment,,Small Pet/Containment/Deterrent==Pet Items/Small Pet Containment
Small Pet,Toys,Interactive,Pet Items,Small Pet Toys,,Small Pet/Toys/Interactive==Pet Items/Small Pet Toys,,Small Pet/Toys/Interactive==Pet Items/Small Pet Toys
