Xsdepot,,,Direct Connect Store,,,,Formula,,Output
NintendoWii,Strategy,,Electronics,Video Games,NintendoWii,,NintendoWii/Strategy==Electronics & Gadgets/Video Games/NintendoWii,,NintendoWii/Strategy==Electronics & Gadgets/Video Games/NintendoWii
OfficeEquipment,CleaningSupplies,,Household Items,Cleaning Supplies,,,OfficeEquipment/CleaningSupplies==Household Items/Cleaning Supplies,,OfficeEquipment/CleaningSupplies==Household Items/Cleaning Supplies
OfficeEquipment,Laminators,,Household Items,Desk Accessories,,,OfficeEquipment/Laminators==Household Items/Desk Accessories,,OfficeEquipment/Laminators==Household Items/Desk Accessories
OfficeEquipment,OfficeSupplies,,Household Items,Desk Accessories,,,OfficeEquipment/OfficeSupplies==Household Items/Desk Accessories,,OfficeEquipment/OfficeSupplies==Household Items/Desk Accessories
OfficeEquipment,Shredders,,Household Items,Paper Shredders,,,OfficeEquipment/Shredders==Household Items/Paper Shredders,,OfficeEquipment/Shredders==Household Items/Paper Shredders
OperatingSystems,Macintosh&Other,,Electronics,Software,,,OperatingSystems/Macintosh&Other==Electronics & Gadgets/Software,,OperatingSystems/Macintosh&Other==Electronics & Gadgets/Software
OperatingSystems,Server&RemoteDesktop,,Electronics,Software,,,OperatingSystems/Server&RemoteDesktop==Electronics & Gadgets/Software,,OperatingSystems/Server&RemoteDesktop==Electronics & Gadgets/Software
OperatingSystems,Windows,,Electronics,Software,,,OperatingSystems/Windows==Electronics & Gadgets/Software,,OperatingSystems/Windows==Electronics & Gadgets/Software
Other,"GameBoyAdvance,Games&Accessories",,Electronics,Video Games,,,"Other/GameBoyAdvance,Games&Accessories==Electronics & Gadgets/Video Games",,"Other/GameBoyAdvance,Games&Accessories==Electronics & Gadgets/Video Games"
Other,"Xbox,Games&Accessories",,Electronics,Video Games,,,"Other/Xbox,Games&Accessories==Electronics & Gadgets/Video Games",,"Other/Xbox,Games&Accessories==Electronics & Gadgets/Video Games"
PCGames,Adventure,,Electronics,Video Games,PCGames,,PCGames/Adventure==Electronics & Gadgets/Video Games/PCGames,,PCGames/Adventure==Electronics & Gadgets/Video Games/PCGames
PCGames,Arcade,,Electronics,Video Games,PCGames,,PCGames/Arcade==Electronics & Gadgets/Video Games/PCGames,,PCGames/Arcade==Electronics & Gadgets/Video Games/PCGames
PCGames,MacintoshGames,,Electronics,Video Games,PCGames,,PCGames/MacintoshGames==Electronics & Gadgets/Video Games/PCGames,,PCGames/MacintoshGames==Electronics & Gadgets/Video Games/PCGames
PCGames,Puzzle&Trivia,,Electronics,Video Games,PCGames,,PCGames/Puzzle&Trivia==Electronics & Gadgets/Video Games/PCGames,,PCGames/Puzzle&Trivia==Electronics & Gadgets/Video Games/PCGames
PCGames,Simulations,,Electronics,Video Games,PCGames,,PCGames/Simulations==Electronics & Gadgets/Video Games/PCGames,,PCGames/Simulations==Electronics & Gadgets/Video Games/PCGames
Peripherals,Projectors,,Electronics,Computer Accessories,,,Peripherals/Projectors==Electronics & Gadgets/Computer Accessories,,Peripherals/Projectors==Electronics & Gadgets/Computer Accessories
Peripherals,Scanners,,Electronics,Computer Accessories,,,Peripherals/Scanners==Electronics & Gadgets/Computer Accessories,,Peripherals/Scanners==Electronics & Gadgets/Computer Accessories
Peripherals,Speakers,,Electronics,Portable Speakers,,,Peripherals/Speakers==Electronics & Gadgets/Portable Speakers,,Peripherals/Speakers==Electronics & Gadgets/Portable Speakers
PetProducts,MiscProducts,,Household Items,Pets,,,PetProducts/MiscProducts==Household Items/Pets,,PetProducts/MiscProducts==Household Items/Pets
PetProducts,PetGrooming,,Household Items,Pets,,,PetProducts/PetGrooming==Household Items/Pets,,PetProducts/PetGrooming==Household Items/Pets
PetProducts,TrainingAids,,Household Items,Pets,,,PetProducts/TrainingAids==Household Items/Pets,,PetProducts/TrainingAids==Household Items/Pets
Phones,CellAccessories,,Electronics,Cellphone Accessories,,,Phones/CellAccessories==Electronics & Gadgets/Cellphone Accessories,,Phones/CellAccessories==Electronics & Gadgets/Cellphone Accessories
Phones,CellPhones,,Electronics,Cellphone Accessories,,,Phones/CellPhones==Electronics & Gadgets/Cellphone Accessories,,Phones/CellPhones==Electronics & Gadgets/Cellphone Accessories
Phones,Phones&Accessories,,Electronics,Cellphone Accessories,,,Phones/Phones&Accessories==Electronics & Gadgets/Cellphone Accessories,,Phones/Phones&Accessories==Electronics & Gadgets/Cellphone Accessories
Phones,VOIP,,Electronics,Computer Accessories,,,Phones/VOIP==Electronics & Gadgets/Computer Accessories,,Phones/VOIP==Electronics & Gadgets/Computer Accessories
Photo/Video/Design,AdobeTitles,,Electronics,Software,,,Photo/Video/Design/AdobeTitles==Electronics & Gadgets/Software,,Photo/Video/Design/AdobeTitles==Electronics & Gadgets/Software
Photo/Video/Design,CAD/CAM,,Electronics,Software,,,Photo/Video/Design/CAD/CAM==Electronics & Gadgets/Software,,Photo/Video/Design/CAD/CAM==Electronics & Gadgets/Software
Photo/Video/Design,Calendars&Scrapbooks,,Electronics,Software,,,Photo/Video/Design/Calendars&Scrapbooks==Electronics & Gadgets/Software,,Photo/Video/Design/Calendars&Scrapbooks==Electronics & Gadgets/Software
Photo/Video/Design,Children'sGraphics,,Electronics,Software,,,Photo/Video/Design/Children'sGraphics==Electronics & Gadgets/Software,,Photo/Video/Design/Children'sGraphics==Electronics & Gadgets/Software
Photo/Video/Design,Design&Animation,,Electronics,Software,,,Photo/Video/Design/Design&Animation==Electronics & Gadgets/Software,,Photo/Video/Design/Design&Animation==Electronics & Gadgets/Software
Photo/Video/Design,DesktopPublishing,,Electronics,Software,,,Photo/Video/Design/DesktopPublishing==Electronics & Gadgets/Software,,Photo/Video/Design/DesktopPublishing==Electronics & Gadgets/Software
Photo/Video/Design,Fonts,,Electronics,Software,,,Photo/Video/Design/Fonts==Electronics & Gadgets/Software,,Photo/Video/Design/Fonts==Electronics & Gadgets/Software
Photo/Video/Design,GreetingsCardMaker,,Electronics,Software,,,Photo/Video/Design/GreetingsCardMaker==Electronics & Gadgets/Software,,Photo/Video/Design/GreetingsCardMaker==Electronics & Gadgets/Software
Photo/Video/Design,Photo&ClipartCollections,,Electronics,Software,,,Photo/Video/Design/Photo&ClipartCollections==Electronics & Gadgets/Software,,Photo/Video/Design/Photo&ClipartCollections==Electronics & Gadgets/Software
Photo/Video/Design,PhotoEditing,,Electronics,Software,,,Photo/Video/Design/PhotoEditing==Electronics & Gadgets/Software,,Photo/Video/Design/PhotoEditing==Electronics & Gadgets/Software
Photo/Video/Design,ScreenSavers,,Electronics,Software,,,Photo/Video/Design/ScreenSavers==Electronics & Gadgets/Software,,Photo/Video/Design/ScreenSavers==Electronics & Gadgets/Software
Photo/Video/Design,Video/AudioPlayback&Editing,,Electronics,Software,,,Photo/Video/Design/Video/AudioPlayback&Editing==Electronics & Gadgets/Software,,Photo/Video/Design/Video/AudioPlayback&Editing==Electronics & Gadgets/Software
Playstation2,Accessories,,Electronics,Video Games,Playstation2,,Playstation2/Accessories==Electronics & Gadgets/Video Games/Playstation2,,Playstation2/Accessories==Electronics & Gadgets/Video Games/Playstation2
Playstation2,Adventure,,Electronics,Video Games,Playstation2,,Playstation2/Adventure==Electronics & Gadgets/Video Games/Playstation2,,Playstation2/Adventure==Electronics & Gadgets/Video Games/Playstation2
Playstation2,Music&Rhythm,,Electronics,Video Games,Playstation2,,Playstation2/Music&Rhythm==Electronics & Gadgets/Video Games/Playstation2,,Playstation2/Music&Rhythm==Electronics & Gadgets/Video Games/Playstation2
Playstation2,Puzzle,,Electronics,Video Games,Playstation2,,Playstation2/Puzzle==Electronics & Gadgets/Video Games/Playstation2,,Playstation2/Puzzle==Electronics & Gadgets/Video Games/Playstation2
Playstation2,Simulations,,Electronics,Video Games,Playstation2,,Playstation2/Simulations==Electronics & Gadgets/Video Games/Playstation2,,Playstation2/Simulations==Electronics & Gadgets/Video Games/Playstation2
Playstation2,Sports&Fitness,,Electronics,Video Games,Playstation2,,Playstation2/Sports&Fitness==Electronics & Gadgets/Video Games/Playstation2,,Playstation2/Sports&Fitness==Electronics & Gadgets/Video Games/Playstation2
Playstation3,Accessories,,Electronics,Video Games,Playstation3,,Playstation3/Accessories==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Accessories==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Action,,Electronics,Video Games,Playstation3,,Playstation3/Action==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Action==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Adventure,,Electronics,Video Games,Playstation3,,Playstation3/Adventure==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Adventure==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Arcade,,Electronics,Video Games,Playstation3,,Playstation3/Arcade==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Arcade==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Music&Rhythm,,Electronics,Video Games,Playstation3,,Playstation3/Music&Rhythm==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Music&Rhythm==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Puzzle,,Electronics,Video Games,Playstation3,,Playstation3/Puzzle==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Puzzle==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Shooters,,Electronics,Video Games,Playstation3,,Playstation3/Shooters==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Shooters==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Simulations,,Electronics,Video Games,Playstation3,,Playstation3/Simulations==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Simulations==Electronics & Gadgets/Video Games/Playstation3
Playstation3,Sports&Fitness,,Electronics,Video Games,Playstation3,,Playstation3/Sports&Fitness==Electronics & Gadgets/Video Games/Playstation3,,Playstation3/Sports&Fitness==Electronics & Gadgets/Video Games/Playstation3
PointofSale(POS),Scanners,,Electronics,Computer Accessories,,,PointofSale(POS)/Scanners==Electronics & Gadgets/Computer Accessories,,PointofSale(POS)/Scanners==Electronics & Gadgets/Computer Accessories
PortableAudio,Speakers,,Electronics,Portable Speakers,,,PortableAudio/Speakers==Electronics & Gadgets/Portable Speakers,,PortableAudio/Speakers==Electronics & Gadgets/Portable Speakers
PowerCenter,PowerInverters/Adapters,,Electronics,Computer Accessories,,,PowerCenter/PowerInverters/Adapters==Electronics & Gadgets/Computer Accessories,,PowerCenter/PowerInverters/Adapters==Electronics & Gadgets/Computer Accessories
Security,HomeSecurity,,Electronics,Security,,,Security/HomeSecurity==Electronics & Gadgets/Security,,Security/HomeSecurity==Electronics & Gadgets/Security
Security,PhysicalSecurity,,Electronics,Security,,,Security/PhysicalSecurity==Electronics & Gadgets/Security,,Security/PhysicalSecurity==Electronics & Gadgets/Security
Security&Utilities,Anti-Virus/Anti-Spyware,,Electronics,Software,,,Security&Utilities/Anti-Virus/Anti-Spyware==Electronics & Gadgets/Software,,Security&Utilities/Anti-Virus/Anti-Spyware==Electronics & Gadgets/Software
Security&Utilities,Backups&DiscBurn/Creators,,Electronics,Software,,,Security&Utilities/Backups&DiscBurn/Creators==Electronics & Gadgets/Software,,Security&Utilities/Backups&DiscBurn/Creators==Electronics & Gadgets/Software
Security&Utilities,ComputerSecurity,,Electronics,Software,,,Security&Utilities/ComputerSecurity==Electronics & Gadgets/Software,,Security&Utilities/ComputerSecurity==Electronics & Gadgets/Software
Security&Utilities,GeneralUtilities,,Electronics,Software,,,Security&Utilities/GeneralUtilities==Electronics & Gadgets/Software,,Security&Utilities/GeneralUtilities==Electronics & Gadgets/Software
Security&Utilities,ITTools&Software,,Electronics,Software,,,Security&Utilities/ITTools&Software==Electronics & Gadgets/Software,,Security&Utilities/ITTools&Software==Electronics & Gadgets/Software
Security&Utilities,PCMaintenance,,Electronics,Software,,,Security&Utilities/PCMaintenance==Electronics & Gadgets/Software,,Security&Utilities/PCMaintenance==Electronics & Gadgets/Software
Security&Utilities,Programming,,Electronics,Software,,,Security&Utilities/Programming==Electronics & Gadgets/Software,,Security&Utilities/Programming==Electronics & Gadgets/Software
SonyPSP,Accessories,,Electronics,Video Games,SonyPSP,,SonyPSP/Accessories==Electronics & Gadgets/Video Games/SonyPSP,,SonyPSP/Accessories==Electronics & Gadgets/Video Games/SonyPSP
SonyPSP,Action,,Electronics,Video Games,SonyPSP,,SonyPSP/Action==Electronics & Gadgets/Video Games/SonyPSP,,SonyPSP/Action==Electronics & Gadgets/Video Games/SonyPSP
SonyPSP,Adventure,,Electronics,Video Games,SonyPSP,,SonyPSP/Adventure==Electronics & Gadgets/Video Games/SonyPSP,,SonyPSP/Adventure==Electronics & Gadgets/Video Games/SonyPSP
SonyPSP,Sports&Fitness,,Electronics,Video Games,SonyPSP,,SonyPSP/Sports&Fitness==Electronics & Gadgets/Video Games/SonyPSP,,SonyPSP/Sports&Fitness==Electronics & Gadgets/Video Games/SonyPSP
SpecialNeeds,SpecialNeeds-Educational,,Electronics,Software,,,SpecialNeeds/SpecialNeeds-Educational==Electronics & Gadgets/Software,,SpecialNeeds/SpecialNeeds-Educational==Electronics & Gadgets/Software
Sports&Outdoors,Camping&Hunting,,Sports and Fitness,Outdoors,,,Sports&Outdoors/Camping&Hunting==Sports and Fitness/Outdoors,,Sports&Outdoors/Camping&Hunting==Sports and Fitness/Outdoors
Sports&Outdoors,OutdoorsElectronics,,Sports and Fitness,Outdoors,,,Sports&Outdoors/OutdoorsElectronics==Sports and Fitness/Outdoors,,Sports&Outdoors/OutdoorsElectronics==Sports and Fitness/Outdoors
Sports&Outdoors,OutdoorsRecreation&Living,,Sports and Fitness,Outdoors,,,Sports&Outdoors/OutdoorsRecreation&Living==Sports and Fitness/Outdoors,,Sports&Outdoors/OutdoorsRecreation&Living==Sports and Fitness/Outdoors
Sports&Outdoors,Sports&Fitness,,Sports and Fitness,Outdoors,,,Sports&Outdoors/Sports&Fitness==Sports and Fitness/Outdoors,,Sports&Outdoors/Sports&Fitness==Sports and Fitness/Outdoors
Systems,Servers,,Electronics,Software,,,Systems/Servers==Electronics & Gadgets/Software,,Systems/Servers==Electronics & Gadgets/Software
Systems,Tablets&eReaders,,Electronics,Tablets,,,Systems/Tablets&eReaders==Electronics & Gadgets/Tablets,,Systems/Tablets&eReaders==Electronics & Gadgets/Tablets
Televisions,TVAccessories,,Electronics,Televisions & More,,,Televisions/TVAccessories==Electronics & Gadgets/Televisions & More,,Televisions/TVAccessories==Electronics & Gadgets/Televisions & More
Televisions,TVCables,,Electronics,Televisions & More,,,Televisions/TVCables==Electronics & Gadgets/Televisions & More,,Televisions/TVCables==Electronics & Gadgets/Televisions & More
Toys,AllToys,,For the Family,Games and Toys,,,Toys/AllToys==For the Family/Games and Toys,,Toys/AllToys==For the Family/Games and Toys
Toys,BoardGames,,For the Family,Games and Toys,,,Toys/BoardGames==For the Family/Games and Toys,,Toys/BoardGames==For the Family/Games and Toys
Toys,Characters,,For the Family,Games and Toys,,,Toys/Characters==For the Family/Games and Toys,,Toys/Characters==For the Family/Games and Toys
Toys,DVDGames,,For the Family,Games and Toys,,,Toys/DVDGames==For the Family/Games and Toys,,Toys/DVDGames==For the Family/Games and Toys
Toys,Educational,,For the Family,Games and Toys,,,Toys/Educational==For the Family/Games and Toys,,Toys/Educational==For the Family/Games and Toys
Toys,Electronics,,For the Family,Games and Toys,,,Toys/Electronics==For the Family/Games and Toys,,Toys/Electronics==For the Family/Games and Toys
Toys,Games,,For the Family,Games and Toys,,,Toys/Games==For the Family/Games and Toys,,Toys/Games==For the Family/Games and Toys
Toys,Hobbies,,For the Family,Games and Toys,,,Toys/Hobbies==For the Family/Games and Toys,,Toys/Hobbies==For the Family/Games and Toys
Toys,OutdoorFun,,For the Family,Games and Toys,,,Toys/OutdoorFun==For the Family/Games and Toys,,Toys/OutdoorFun==For the Family/Games and Toys
Toys,RemoteControl,,For the Family,Games and Toys,,,Toys/RemoteControl==For the Family/Games and Toys,,Toys/RemoteControl==For the Family/Games and Toys
Xbox360,Accessories,,Electronics,Video Games,Xbox360,,Xbox360/Accessories==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Accessories==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Action,,Electronics,Video Games,Xbox360,,Xbox360/Action==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Action==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Adventure,,Electronics,Video Games,Xbox360,,Xbox360/Adventure==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Adventure==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Arcade,,Electronics,Video Games,Xbox360,,Xbox360/Arcade==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Arcade==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Fighting&War,,Electronics,Video Games,Xbox360,,Xbox360/Fighting&War==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Fighting&War==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Music&Rhythm,,Electronics,Video Games,Xbox360,,Xbox360/Music&Rhythm==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Music&Rhythm==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Puzzle,,Electronics,Video Games,Xbox360,,Xbox360/Puzzle==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Puzzle==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Racing,,Electronics,Video Games,Xbox360,,Xbox360/Racing==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Racing==Electronics & Gadgets/Video Games/Xbox360
Xbox360,RolePlaying,,Electronics,Video Games,Xbox360,,Xbox360/RolePlaying==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/RolePlaying==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Shooters,,Electronics,Video Games,Xbox360,,Xbox360/Shooters==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Shooters==Electronics & Gadgets/Video Games/Xbox360
Xbox360,Sports&Fitness,,Electronics,Video Games,Xbox360,,Xbox360/Sports&Fitness==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/Sports&Fitness==Electronics & Gadgets/Video Games/Xbox360
Xbox360,XboxKinect,,Electronics,Video Games,Xbox360,,Xbox360/XboxKinect==Electronics & Gadgets/Video Games/Xbox360,,Xbox360/XboxKinect==Electronics & Gadgets/Video Games/Xbox360
